IDSite;NomSite;NumSite;Type;Village;Departement;Coord.Value;lat;lng;MetriqueX;MetriqueY
DLPE01-4;Dolmen dit Peyrelevade;9374;Dolmen;Vaour;81; N44.08974 E1.80584;44.08974;1.80584;557455.273559846;1898854.35161033
DLPE30-2;Dolmen dit la Peyra Levada;12468;Dolmen;Verdier;81; N44.0097828 E1.8326466;44.0097828;1.8326466;559547.058279597;1889947.05857179
DLPECF-2;Dolmen du Pech de Montgrès;31874;Dolmen;Penne;81; N44.1110927 E1.6881729;44.1110927;1.6881729;548042.502654955;1901299.9973402
DLPEY3-3;Dolmen de Peyroseco;22831;Dolmen;Roussayrolles;81; N44.1078611 E1.826;44.1078611;1.826;559084.449687472;1900859.06464192
DLPEY9-4;Dolmen dit Peyre-Levade;9373;Dolmen;Valderiès;81; N44.01647 E2.26901;44.01647;2.26901;594577.370579994;1890563.23654848
DLPEYA-0;Dolmen dit Peyro Levato;27768;Dolmen;Crespin;81; N44.0498007 E2.2960532;44.0498007;2.2960532;596750.001734791;1894269.00408586
DLPEYV-1;Dolmen de Peyroulie Nord;31885;Dolmen;Penne;81; N44.1054614 E1.6937903;44.1054614;1.6937903;548487.503105022;1900669.99389754
DLPLOL+4;Dolmen du Plo de Laganthe;9371;Dolmen;Labastide-Rouairoux;81; N43.49701 E2.65211;43.49701;2.65211;625559.332741178;1832822.81064556
DLRCU0-4;Dolmen de Récucelle;12443;Dolmen;Aiguefonde;81; N43.4804295 E2.3167089;43.4804295;2.3167089;598390.49963693;1830926.99650564
DLROCV-0;Dolmen du Roc de la Vierge;22832;Dolmen;Milhars;81; N44.1103 E1.88819;44.1103;1.88819;564069.701469961;1901099.876634
DLSAI7-3;Dolmen de Saint-Paul;9372;Dolmen;Sainte-Cécile-du-Cayrou;81; N43.99349 E1.81795;43.99349;1.81795;558355.312164617;1888142.5435673
DLSALA 0;Dolmen de Saladis;32289;Dolmen;Marnaves;81; N44.0884743 E1.8614844;44.0884743;1.8614844;561914.999389491;1898685.00222026
