@id,historic,name,lng,lat
"node/264937854","archaeological_site","Castro de La Espina del Gallego",-3.9764643,43.1788833
"node/265571004","archaeological_site","Hügelgräber",8.3063555,50.1145878
"node/265758477","archaeological_site","Castle Hill",-1.7199091,50.8340445
"node/266127291","archaeological_site","Alignement mégalithique de Lutry",6.6848425,46.5033253
"node/266805530","archaeological_site","Keltische Vierecksschanze",10.6766729,48.196746
"node/267700337","archaeological_site","Hügelgrab",8.3379251,49.3673559
"node/267700350","archaeological_site","Hügelgrab",8.3385257,49.3675034
"node/267700351","archaeological_site","Hügelgrab",8.3388385,49.3675138
"node/267700352","archaeological_site","Hügelgrab",8.33927,49.3675731
"node/267955403","archaeological_site","Hügelgräber",11.654665,48.2881625
"node/267955457","archaeological_site","Hügelgräber",11.6557207,48.2929481
"node/268095926","archaeological_site","Spätmittelalterlische Glasöfen",8.4247637,50.2233131
"node/268105571","archaeological_site","Heumense Schans",5.8833053,51.7649969
"node/268127827","archaeological_site","Europäischer Kulturpark Bliesbruck - Reinheim",7.1804131,49.1334788
"node/268130236","archaeological_site","Franzosenstein",11.9804372,51.5256908
"node/268130497","archaeological_site","Gollenstein",7.2495165,49.2446165
"node/268182556","archaeological_site","Fundort Oberkasseler Menschen (Doppelgrab)",7.1747029,50.7144302
"node/268319117","archaeological_site","Steinerne Jungfrau;Langer Stein",11.8794537,51.5193713
"node/268411034","archaeological_site","Heidenloch",8.7033812,49.4194835
"node/268693700","archaeological_site","undefined",7.1718037,49.6092148
"node/269053832","archaeological_site","campamento romano de Petavonium",-5.9973791,42.089228
"node/269182936","archaeological_site","Coldrum Longbarrow",0.3728371,51.3215455
"node/270188780","archaeological_site","Prehistoric fireplace",10.1362343,47.3636993
"node/271125193","archaeological_site","Römersiedlung",8.6497962,49.296643
"node/271418678","archaeological_site","Necrópolis medieval de La Coba",-5.0519311,40.6316826
"node/271778380","archaeological_site","Heideschmiede",10.1505222,48.6750109
"node/272585294","archaeological_site","Grosse Flueh",7.6868248,47.1592214
"node/273185621","archaeological_site","Roman Buildings",-0.5993966,51.1175596
"node/273466332","archaeological_site","Stone Circle",-1.1560708,51.3143821
"node/274381901","archaeological_site","Robert's Cross (Neolithic)",-2.4527534,49.477121
"node/274393633","archaeological_site","Vezon Right Battery",-2.6064865,49.4686207
"node/274393641","archaeological_site","Le Creux es Faies passage grave",-2.6555361,49.4564708
"node/274395839","archaeological_site","Pleinmont Tower",-2.6713097,49.4326747
"node/274395844","archaeological_site","Tower MP4",-2.6637179,49.4251679
"node/274395845","archaeological_site","restored gun emplacement no 3",-2.6678154,49.4270983
"node/274396273","archaeological_site","Tower",-2.5587882,49.42359
"node/274396784","archaeological_site","La Varde Passage Grave",-2.5363333,49.5022505
"node/274569652","archaeological_site","Rousse Tower",-2.5540481,49.4979591
"node/274572618","archaeological_site","Fort Le Marchant",-2.5185132,49.5086961
"node/274572622","archaeological_site","Tower no 4",-2.517955,49.5067486
"node/274573192","archaeological_site","Tower no 7",-2.5309165,49.5022244
"node/274629947","archaeological_site","Schindkaut",7.7523069,49.4729224
"node/274839389","archaeological_site","La Prevote Tower",-2.6190135,49.4207287
"node/275648722","archaeological_site","Ercavica (Ciudad Romana)",-2.6695178,40.4299568
"node/275672290","archaeological_site","Römerkeller",10.126798,48.7859608
"node/276009846","archaeological_site","Römischer Gutshof",8.2817491,49.3665646
"node/276092021","archaeological_site","Hügelgräber",9.0733913,48.5559765
"node/276342726","archaeological_site","Soldiers Ring",-0.7419264,51.2075998
"node/276658364","archaeological_site","1.Graben",10.9725483,51.6358041
"node/276661480","archaeological_site","La Pierre Fiche (Menhir)",-0.0855956,47.2114525
"node/277285981","archaeological_site","Redoute",8.4001024,48.9182535
"node/277765141","archaeological_site","undefined",11.4049467,47.2356395
"node/277929007","archaeological_site","Limes-Turm WP 3/43",8.4216322,50.2235552
"node/278032525","archaeological_site","Keltische Gräber",9.0721925,48.4792606
"node/278349406","archaeological_site","Hallstatt Grabhügel Niederholz",8.1581374,47.3637119
"node/278742221","archaeological_site","Dolmen de La Pierre-Levée",-1.8493977,46.6117181
"node/279212868","archaeological_site","Ca Na Nostra",1.4459035,38.726557
"node/279390707","archaeological_site","Villa Tardo-Romana",-2.6208469,41.6692062
"node/279399051","archaeological_site","Cercle Megalitic II Mill. AC",1.3948562,38.6554142
"node/279444657","archaeological_site","Limesturm WP 3/60",8.5332608,50.2584927
